Abbreviation,Description
A/A,AIR TO AIR TACAN FUNCTION
A/D,AERODROME
A/F,AUTOFEATHER
A/FD,AIRPORT FACILITY DIRECTORY
A/G,AIRTOGROUND
A/H,ALTITUDE HEIGHT
A/O,AIR OIL
A/P,AUTOPILOT
A/S,ANTI SKID
A/T,AUTOTHROTTLE
A/THR,AUTOTHRUST
A/W,AIRWORTHINESS
AAA,AIRPORT AIRSPACE ANALYSIS
AADC,AIRPORT AVERAGE DAILY CAPACITY
AAE,ABOVE AERODROME ELEVATION
AAI,ARRIVAL AIRCRAFT INTERVAL
AAIM,AIRCRAFT AUTONOMOUS INTEGRITY MONITOR
AAMS,AIRCRAFT ARRIVAL MANAGEMENT SYSTEM
AAO,ASSUMED ADVERSE OBSTACLE
AAP ,AUTOFLT ANNUNCIATOR PANEL
AAS,ADVANCED AUTOMATION SYSTEM
AASR,AGING AIRCRAFT SAFETY RULE
ABDIS,AUTOMATED DATA INTERCHANGE SYSTEM SERVICE
ACAIS,AIR CARRIER ACTIVITY INFORMATION SYSTEM
ACAM,AIRCRAFT CONTINUOUS AIRWORTHINESS MONITOR
ACARS,AIRCRAFT COMMUNICATIONS ADDRESSING AND REPORTING SYSTEM
ACAS,AIRBORNE COLLISION AVOIDANCE SYSTEM
ACD,AUTOMATIC CALL DISTRIBUTOR
ACE,ACTUATOR CONTROL ELECTRONICS
ACFT,AIRCRAFT
ACID,AIRCRAFT IDENTIFICATION
ACLS,AUTOMATIC CARRIER LANDING SYSTEM
ACLT,ACTUAL LANDING TIME CALCULATED
ACM,AIR CYCLE MACHINE
ACMS,AIRCRAFT CONDITION MONITORING SYSTEM
ACP,AUDIO CONTROL PANEL
ACR,AVIONIC COMMUNICATION ROUTER
ACS,AUDIO CONTROL SYSTEM
ACS2,AUDIO CONTROL SYSTEM
ACU,AIR CONDITION UNIT
ADAHRS,AIR DATA ATTITUDE HEADING REFERENCE SYSTEM
ADAS,AUTOMATED WEATHER OBSERVING SYSTEM DATA ACQUISITION SYSTEM
ADC,AIR DATA COMPUTER
ADCCP,ADVANCED DATA COMMUNICATIONS CONTROL PROCEDURE
ADD,ACCEPTABLE DEFERRED DEFECT
ADDA,ADMINISTRATIVE DATA
ADDS,AVIATION DIGITAL DATA SERVICE
ADF,AUTOMATIC DIRECTION FINDER
ADI,ALTITUDE DIRECTOR INDICATOR
ADIC,ATS INTERFACILITY DATA COMMUNICATIONS
ADIN,AUTODIN SERVICE
ADIRS,AIR DATA INERTIAL REFERENCE SYSTEM
ADIRU,AIR DATA INERTIAL REFERENCE UNIT
ADIZ,AIR DEFENSE IDENTIFICATION ZONE
ADJ,ADJUSTMENT
ADL,AERONAUTICAL DATA LINK
ADLY,ARRIVAL DELAY
ADM,AERONAUTICAL DECISION MAKING
ADM,AIR DATA MODULE
ADP,AUTOMATED DATA PROCESSING
ADSIM,AIRFIELD DELAY SIMULATION MODEL
ADSY,ADMINISTRATIVE EQUIPMENT SYSTEM
ADTN,ADMINISTRATIVE DATA TRANSMISSION NETWORK
ADTN2000,ADMINISTRATIVE DATA TRANSMISSION NETWORK
ADVO,ADMINISTRATIVE VOICE
AED,AUTOMATED EXTERNAL DEFIBULATOR
AEDT,AVIATION ENVIRONMENTAL DESIGN TOOL
AESA,ACTIVE ELECTRONICSALLY SCANNED ARRAY
AEX,AUTOMATED EXECUTION
AFCS,AUTOMATIC FLIGHT CONTROL SYSTEM
AFCS ,AUTOFLT CONTROL SYSTEM
AFD,AUTOPILOT FLIGHT DIRECTOR
AFDC,AUTOPILOT FLIGHT DIRECTOR COMPUTER
AFDSS,AIR FIX DATA SUB SET
AFDX,AVIONICS FULL DUPLEX SWITCHED ETHERNET
AFE,ABOVE FIELD ELEVATION
AFER,AIRCRAFT FUEL EXPENSE RECONCILIATION SYSTEM
AFIS,AUTOMATED FLIGHT INSPECTION SYSTEM
AFMS,AUTOMATIC FLIGHT MANAGEMENT SYSTEM
AFP,AREA FLIGHT PLAN
AFTN,AUTOMATED FIXED TELECOMMUNICATIONS NETWORK
AFZ,RESOURCE MANAGEMENT
AGACS,AUTOMATIC GROUND AIR COMMUNICATIONS SYSTEM
AGB,ACCESSORY GEAR BOX
AGC,AUTOMATIC GAIN CONTROL
AGDL,AIR?GROUND DATA LINK
AGHME,AIRCRAFT GEOMETRIC HEIGHT MEASUREMENT ELEMENT
AGL,ABOVE GROUND LEVEL
AHC,ATTITUDE HEADING CONTROL
AHR,FAA OFFICE OF HUMAN RESOURCES
AHRS,ATTITUDE AND HEADING REFERENCE SYSTEM
AHRU,ATTITUDE AND HEADING REFERENCE UNIT
AICS,AIRCRAFT INVENTORY AND CHARTER SYSTEM
AIDS,AIRCRAFT INTEGRATED DATA SYSTEM
AIFSS,AUTOMATED INTERNATIONAL FLIGHT SERVICE
AILS,AUTOMATIC INSTRUMENT LANDING SYSTEM
AIRNAV,AIRPORTS AND NAVIGATION AIDS DATABASE SYSTEM
AIRNET,AIRPORT NETWORK SIMULATION MODEL
AIRPAC,ADVISOR FOR THE INTELLIGENT RESOLUTION OF PREDICTED AIRCRAFT
AIS,AERONAUTICAL INFORMATION SYSTEM
AIT,AUTOMATED INFORMATION TRANSFER
AITS,AUTOMATED INVENTORY TRACKING SYSTEM
AIXM,AERONAUTICAL INFORMATION EXCHANGE MODEL
ALC,AUTOMATIC LEVEL CONTROL
ALI,AIRWORTHINESS LIMITATION ITEM
ALNA,AIRLINE NETWORK ARCHITECTURE
ALS,APPROACH LIGHT SYSTEM
ALSF,APPROACH LIGHTING SYSTEM WITH SEQUENCED FLASHING LIGHTS
ALSF1,APPROACH LIGHT SYSTEM
ALSF2,APPROACH LIGHT SYSTEM
ALT,ALTIMETER OR ALTITUDE
ALT HOLD,ALTITUDE HOLD MODE
ALTRV,ALTITUDE RESERVATION
ALTS,ALTITUDE SELECT
ALUM,ALUMINUM
AMASS,AIRPORT MOVEMENT AREA SAFETY SYSTEM
AMC,ACCEPTABLE MEANS OF COMPLIANCE EASA
AMIS,AIRCRAFT MANAGEMENT INFORMATION SYSTEM
AMLCD,ACTIVE MATRIX LIQUID CRYSTAL DISPLAY
AMOS,AUTOMATED METEOROLOGICAL OBSERVATION STATION
AMP,ARINC MESSAGE PROCESSOR OR AIRPORT MASTER PLAN
AMSL,ABOVE MEAN SEA LEVEL
AMVER,AUTOMATED MUTUAL ASSISTANCE VESSEL RESCUE SYSTEM
ANC,ACTIVE NOISE CANCELLATION
ANCA,AIRPORT NOISE AND CAPACITY ACT
ANMS,AUTOMATED NETWORK MONITORING SYSTEM
ANN,ANN
ANPT,AERONAUTICAL NATIONAL PIPE TAPER
ANR,ACTIVE NOISE REDUCTION
ANT,ANTENNA
AOA,ANGLE OF ATTACK
AOAS,ADVANCED OCEANIC AUTOMATION SYSTEM
AOG,AOG
AOM,AOM
AP,AUTOPILOT
APARS,AUTOMATIC PRESSURE ALTITUDE REPORTING SYSTEM
APC,AUTO PILOT COMPUTER
APIRS,ALTITUDE AND POSITIONING INERTIAL REFERENCE SYSTEM
APM,APPROACH PATH MONITOR
APOA,AIRPORT OF ARRIVAL
APOD,AIRPORT OF DEPARTURE
APP,APPROACH
APPL,APPLICATION
APS,AUTO PILOT SYSTEM
APT,AIRPORT
APTS,AUTOMATED PERSONNEL TRACKING SYSTEM
APU,AUXILIARY POWER UNIT
APV,APPROACH PROCEDURE WITH VERTICAL GUIDANCE INSTRUMENTAL APPROACH
ARFF,AIRCRAFT RESCUE AND FIRE FIGHTING
ARP,AIRPORT REFERENCE POINT
ARRIVAL,ARRIVAL
ARS,AIRPORT SURVEILLANCE RADAR
ARSA,AIRPORT SERVICE RADAR AREA
ARSR,LONG RANGE SURVEILLANCE RADAR
ARTCC,AIR ROUTE TRAFFIC CONTROL CENTER
ARTS,AUTOMATED RADAR TERMINAL SYSTEM
ASAS,AIRBORNE SEPARATION ASSURANCE SYSTEM
ASAS,AVIATION SAFETY ANALYSIS SYSTEM
ASC,AUTODIN SWITCHING CENTER
ASCP,AVIATION SYSTEM CAPACITY PLAN
ASD,AIRCRAFT SITUATION DISPLAY
ASDA,AIRCRAFT SITUATION DISPLAY
ASDE,AIRCRAFT SITUATION DISPLAY
ASDE-X,AIRCRAFT SITUATION DISPLAY
ASDL,AERONAUTICAL SATELLITE DATA LINK
ASI,AIRSPEED INDICATOR
ASIAS,AVIATION SAFETY INFORMATION ANALYSIS AND SHARING
ASL,ABOVE SEA LEVEL
ASLAR,AIRCRAFT SURGE LAUNCH AND RECOVERY
ASLO,AIRCRAFT SECURITY LOGGING OVERVIEW
ASOS,AUTOMATED SURFACE OBSERVING SYSTEM
ASPM,AVIATION SYSTEM PERFORMANCE METRIC
ASQP,AIRLINE SERVICE QUALITY PERFORMANCE
ASR,AIRPORT SURVEILLANCE RADAR
ASRS,AVIATION SAFETY REPORTING SYSTEM
ASR-WSP,AIRPORT SURVEILLANCE RADAR WEATHER SYSTEM PROCESSOR
ASTA,AIRPORT SURFACE TRAFFIC AUTOMATION
ASU,AVIONICS SWITCHING UNIT
ASYNC,ASYNCHRONOUS CONCENTRATOR
ATC,AIR TRAFFIC CONTROL
ATCBI,AIR TRAFFIC CONTROL RADAR BEACON
ATCRB,AIR TRAFFIC CONTROL RADAR BEACON
ATCRBS,AIR TRAFFIC CONTROL RADAR BEACON
ATCT,AIR TRAFFIC CONTROL
ATD,ACTUAL TIME OF DEPARTURE
ATF,AERODROME TRAFFIC FREQUENCY
ATFM,AIR TRAFFIC FLOW MANAGEMENT
ATIDS,AIRPORT SURFACE TARGET IDENTIFICATION SYSTEM
ATIS,AUTOMATIC TERMINAL INFORMATION SERVICE RECORDER
ATISR,AUTOMATIC TERMINAL INFORMATION SERVICE RECORDER
ATM,AUTOMATED TRAINING MANAGEMENT SYSTEM
ATMAC,AIR TRAFFIC MANAGEMENT ADVISORY COMMITTEE
ATMS,AUTOMATED TRAINING MANAGEMENT SYSTEM
ATN,AERONAUTICAL TELECOMMUNICATIONS NETWORK
ATODN,AUTODIN TERMINAL FUS
ATOMS,AIR TRAFFIC OPERATIONS MANAGEMENT SYSTEM
ATOP,ADVANCED TECHNOLOGIES AND OCEANIC PROCEDURE
ATOS,AIR TRANSPORTATION OVERSIGHT SYSTEM
ATOVN,AUOTVON FACILITY
ATR,AUTOMATIC THRUST RESTORATION
ATSU,AIR TRAFFIC SERVICE UNIT
ATT,ALTITUDE
ATTCS,AUTOMATIC TAKE OFF THRUST CONTROL SYSTEM
ATTIS,AT&T INFORMATION SYSTEM
AWG,AMERICAN WIRE GAGE
AWIS,AVIATION WEATHER INFORMATION SERVICE
AWOS,AUTOMATIC WEATHER OBSERVATION STATION
AWP,AVIATION WEATHER PROCESSOR
AWPG,AVIATION WEATHER PRODUCTS GENERATOR
AWS,AIR WEATHER STATION
AWSS,AUTOMATED WEATHER SENSORS SYSTEM
AWTT,AVIATION WEATHER TECHNOLOGY TRANSFER
AWWS,AVIATION WEATHER WEB SITE
B/P,BLUEPRINT
BAA,BILATERAL AIRWORTHINESS AGREEMENT
BAD,BUDGET ANALYSIS DATABASE
BANS,BRITE ALPHANUMERIC SYSTEM
BARO,BAROMETRIC INDICATION SETTING OR PRESSURE
BDAT,DIGITIZED BEACON DATA
BDC,BOTTOM DEAD CENTRE
BDI,BEARING DISTANCE INDICATOR
BER,BEYOND ECONOMIC REPAIR
BERMS,BEACON ENVIRONMENTAL REMOTE MONITORING SUBSYSTEM
BFL,BALANCED FIELD LENGTH
BGAN,BROADCAST GLOBAL AREA NETWORK
BHP,BRAKE HORSEPOWER
BIP,BACKUP INTERFACE PROCESSOR
BITE,BUILT IN TEST EQUIPMENT
BL,BUTT LINE
BME,BRIDGE MOUNTED EQUIPMENT
BOD,BENEFICIAL OCCUPANCY DATE
BPR,BYPASS RATIO
BPS,BITS PER SECOND
BRASER,BRASHER WARNING
BRI,BASIC RATE INTERFACE
BRITE,BRIGHT RADAR INDICATOR TERMINAL EQUIPMENT
BRL,BUILDING RESTRICTION LINE
BTV,BRAKE TO VACATE
BUEC,BACKUP EMERGENCY COMMUNICATIONS
BVID,BARELY VISIBLE IMPACT DAMAGE
BVR,BEYOND VISUAL RANGE
BWC,BIRD WATCH CONDITION
C/L,CENTER LINE
C/S/S/N,CAPACITY SAFETY SECURITY NOISE
CA,CONFLICT ALERT
CACTCS,CABIN AIR CONDITIONING AND TEMPERATURE CONTROL SYSTEM
CAI,CAUTION ADVISORY PANEL
CAIRS,CABLE ASSIGNMENT INFORMATION RETRIEVAL SYSTEM
CAM,COCKPIT AREA MICROPHONE
CAP,CABIN ATTENDANT PANEL
CARF,CENTRAL ALTITUDE RESERVATION FUNCTION
CARS,CIVILIAN AIR ROUTES SYSTEM
CARSR,COMMON AIR ROUTE SURVEILLANCE RADAR
CARTS,COMMON AUTOMATED RADAR TERMINAL SYSTEM
CAS,CALIBRATED AIRSPEED
CAT,OPERATIONAL PERFORMANCE CATEGORY
CAT I,OPERATIONAL PERFORMANCE CATEGORY
CAT II,OPERATIONAL PERFORMANCE CATEGORY
CAT IIIA,OPERATIONAL PERFORMANCE CATEGORY
CAT IIIB,OPERATIONAL PERFORMANCE CATEGORY
CAT IIIC,OPERATIONAL PERFORMANCE CATEGORY
CATTS,COMPUTERIZED AIR TRAFFIC TRAINING SYSTEM
CATX,CATEGORICAL EXCLUSION
CAU,CRYPTO ANCILLARY UNIT
CAW,CONTINUING AIRWORTHINESS EASA
CCCH,CENTRAL COMPUTER COMPLEX HOST
CCRS,CONSTANT CURRENT REGULATOR
CCU,CENTRAL CONTROL UNIT
CDA,CONTINUOUS DESCENT APPROACH
CDC,COMPUTER DISPLAY CHANNEL
CDCCL,CRITICAL DESIGN CONFIGURATION CONTROL LIMITATION
CDI,COURSE DEVIATION INDICATOR
CDL,CONFIGURATION DEVIATION LIST
CDM,COLLABORATIVE DECISION MAKING
CDR,COST DETAIL REPORT
CDRA,COOPERATIVE RESEARCH AND DEVELOPMENT AGREEMENT
CDS,CENTRAL DISPATCH SYSTEM
CDT,CONTROLLED DEPARTURE TIME
CDTI,COCKPIT DISPLAY OF TRAFFIC INFORMATION
CDU,CONTROL DISPLAY UNIT
CDV,COMPRESSED DIGITAL VIDEO
CED,CATEGORICAL EXCLUSION DETERMINATION
CENRAP,CENTER RADAR ARTS PRESENTATION
CFC,CENTRAL FLOW CONTROL
CFCF,CENTRAL FLOW CONTROL FACILITY
CFCS,CENTRAL FLOW CONTROL SERVICE
CFG,CONSTANT FREQUENCY GENERATOR
CFIT,CONTROLLED FLIGHT INTO TERRAIN
CFWP,CENTRAL FLOW WEATHER PROCESSOR
CFWU,CENTRAL FLOW WEATHER UNIT
CG,CENTER OF GRAVITY
CH,COURSE HEADING
CHI,COMPUTER HUMAN INTERFACE
CHP,COURSE HEADING PANEL
CHT,CYLINDER HEAD TEMPERATURE
CIG,CEILING
CIGS,CEILING
CIWS,CORRIDOR INTEGRATED WEATHER SYSTEM
CL,CENTER LINE
CLC,COURSE LINE COMPUTER
CLEEN,CONTINUOUS LOWER ENERGY EMISSIONS AND NOISE
CLMVIA,CLIMB VIA
CLT,CALCULATED LANDING TIME
CMC,CENTRAL MAINTENANCE COMPUTER
CMPA,COMPLEX MOTOR POWERED AIRCRAFT
CMU,COMMUNICATIONS MANAGEMENT UNIT
CMV,CONVERTED METEOROLOGICAL VISIBILITY
CNS,COMMUNICATION NAVIGATION AND SURVEILLANCE
CNSP,CONSOLIDATED NOTAM SYSTEM PROCESSOR
CP,CONFLICT PROBE
CPA,CLOSEST POINT OF APPROACH
CPCS,CONSOLIDATED PRODUCTION CONTROL SYSTEM
CPDLC,CONTROLLER PILOT DATA LINK COMMUNICATIONS
CPS,CYCLES PER SECOND
CRA,CONFLICT RESOLUTION ADVISORY
CRDA,CONVERGING RUNWAY DISPLAY AID
CRES,CORROSION RESISTANT STEEL
CRT,CATHODE RAY TUBE
CSAP,COMMON SERVICE ACCESS POINT
CSCT,CONFIGURATION ITEM SIGNER CRATER TOOL
CSD,CONSTANT SPEED DRIVE
CSIS,CENTRALIZED STORM INFORMATION SYSTEM
CSO,CYCLES SINCE OVERHAUL
CSR,COMMUNICATIONS SERVICE REQUEST
CSS,CABIN SERVICE SYSTEM
CSSN,CAPACITY SAFETY SECURITY NOISE
CSU,CONSTANT SPEED UNIT
CTA,CONTROLLED TIME OF ARRIVAL
CTAS,CENTER TRACON AUTOMATION SYSTEM
CTC,CABIN TURBO COMPRESSOR
CTMA,CENTER TRAFFIC MANAGEMENT ADVISOR
CUPS,CONSOLIDATED UNIFORM PAYROLL SYSTEM
CV,COCKPIT VOICE
CV/DFDR,COCKPIT VOICE AND DIGITAL FLIGHT DATA RECORDER
CVDFDR,COCKPIT VOICE AND DIGITAL FLIGHT DATA RECORDER
CVFR,CONTROLLED VISUAL FLIGHT RULES
CVR,COCKPIT VOICE RECORDER
CVTS,COMPRESSED VIDEO TRANSMISSION SERVICE
CW,CONTINUOUS WAVE
CWP,CENTRAL WEATHER PROCESSOR
CWS,CONTROL WHEEL STEERING
CWSU,CENTRAL WEATHER SERVICE UNIT
CWY,CLEARWAY
DA,DECISION ALTITUDE
DA/H,DECISION ALTITUDE HEIGHT
DABBS,DITCO AUTOMATED BULLETIN BOARD SYSTEM
DACS,DIGITAL AERONAUTICAL CHART SUPPLEMENT
DAFIS,DEPARTMENTAL ACCOUNTING AND FINANCIAL INFORMATION SYSTEM
DAH,DESIGN APPROVAL HOLDER
DAIR,DIRECT ALTITUDE AND IDENTITY READOUT
DALR,DIGITAL AUDIO LEGAL RECORDER
DAPS,DOWNLINK OF AIRCRAFT PARAMETERS
DARC,DIRECT ACCESS RADAR CHANNEL
DARP,DYNAMIC AIRCRAFT ROUTE PLANNING
DASI,DIGITAL ALTIMETER SETTING INDICATOR
DASR,DIGITAL AIRPORT SURVEILLANCE RADAR
DATIS,DIGITAL AUTOMATIC TERMINAL INFORMATION SERVICE
D-ATIS,DIGITAL AUTOMATIC TERMINAL INFORMATION SERVICE
DB,DECIBEL
DBA,DECIBEL WEIGHTED
DBRITE,DIGITAL BRIGHT RADAR INDICATOR TOWER EQUIPMENT
DCAA,DUAL CALL AUTOMATIC ANSWER DEVICE
DCC,DIRECT CHANNEL COMPLEX
DCCU,DATA COMMUNICATIONS CONTROL UNIT
DCDU,DATA LINK CONTROL AND DISPLAY UNIT
DCE,DATA COMMUNICATIONS EQUIPMENT
DCL,DEPARTURE CLEARANCE VIA CPDLC
DCP,DISPLAY CONTROL PANEL
DDA,DEDICATED DIGITAL ACCESS
DDD,DIRECT DISTANCE DIALING
DDM,DIFFERENCE IN DEPTH OF MODULATION
DDS,DIGITAL DATA SERVICE
DEDS,DATA ENTRY AND DISPLAY SYSTEM
DEG,DEGREES
DEM,DIGITAL ELEVATION MODEL
DEP,DEPARTURE
DEP,STANDARD INSTRUMENT DEPARTURE
DER,DEPARTURE END OF RUNWAY
DEU,DISPLAY ELECTRONICS UNIT
DEWIZ,DISTANCE EARLY WARNING IDENTIFICATION ZONE
DF,DIRECTION FINDER
DFDR,DIGITAL FLIGHT DATA RECORDER
DFI,DIRECTION FINDING INDICATOR
DFL,DAILY FLIGHT LOG
DFM,DEPARTURE FLOW MANAGEMENT
DFMC,DUAL FREQUENCY MULTIPLE CONSTELLATION
DG,DIRECTIONAL GYRO
DGNSS,DIFFERENTIAL GLOBAL NAVIGATION SATELLITE SYSTEM
DGPS,DIFFERENTIAL GLOBAL POSITIONING SYSTEM
DH,DECISION HEIGHT
DIP,DROP AND INSERT POINT
DIRF,DIRECTION FINDING
DLAP,DATA LINK APPLICATIONS PROCESSOR
DLR,DATA LINK RECORDER
DME,PRECISION DISTANCE MEASURING EQUIPMENT
DME/P,PRECISION DISTANCE MEASURING EQUIPMENT
DMEP,PRECISION DISTANCE MEASURING EQUIPMENT
DME-P,PRECISION DISTANCE MEASURING EQUIPMENT
DMI,DEFERRED MAINTENANCE ITEM
DNC,DIRECT NOISE CANCELING
DNL,DAY-NIGHT EQUIVALENT SOUND LEVEL
DOW,DRY OPERATIONAL WEIGHT
DP,STANDARD INSTRUMENT DEPARTURE
DPU,DISPLAY PROCESSOR UNIT
DR,DEAD RECKONING
DRMC,DIRECT READING MAGNETIC COMPASS
DSR,DISPLAY SYSTEM REPLACEMENT
DTED,DIGITAL TERRAIN ELEVATION DATA
DTM,DIGITAL TERRAIN MODEL
DUAT,DIRECT USER ACCESS TERMINAL
DUATS,DIRECT USER ACCESS TERMINAL SYSTEM
DVE,DEGRADED VISUAL ENVIRONMENT
DVFR,DAY VISUAL FLIGHT RULES
DVOF,DIGITAL VERTICAL OBSTRUCTION FILE
DVOR,DOPPLER VERY HIGH FREQUENCY OMNI DIRECTIONAL RANGE
DVRS,DIGITAL VOICE RECORDER SYSTEM
DYSIM,DYNAMIC SIMULATOR
E,EAST
E/LSA,EXPERIMENTAL LIGHT-SPORT AIRCRAFT
E/MSAW,EN ROUTE AUTOMATED MINIMUM SAFE ALTITUDE WARNING
EADI,ELECTRONICS ATTITUDE DIRECTION INDICATOR
EARS,EN ROUTE ANALYSIS AND REPORTING SYSTEM
EARTS,EN ROUTE AUTOMATED RADAR TRACKING SYSTEM
EAS,EQUIVALENT AIRSPEED
EASA,EASA
EAST,EAST
EASTBOUND,EAST BOUND
EAST-BOUND,EAST BOUND
EASTERLY,EAST BOUND
EAT,EXPECTED APPROACH TIME
EBC,EVENT BASED CURRENCY
EBU,ENGINE BUILD UP
EBUS,ENHANCED BACKUP SURVEILLANCE
ECAM,ELECTRONICS CENTRALISED AIRCRAFT MONITOR
ECG,EN ROUTE COMMUNICATIONS GATEWAY
ECOM,EN ROUTE COMMUNICATIONS
ECPIC,ELECTRONICS CAPITAL PLANNING INVESTMENT CONTROL
ECU,ENGINE CONTROL UNIT EEC
ECVFP,EXPANDED CHARTED VISUAL FLIGHT PROCEDURE
EDC,EARLY DISPLAY CONFIGURATION
EDC,EN ROUTE DEPARTURE CAPABILITY
EDCT,ESTIMATED DEPARTURE CONTROL TIME
EDTO,EXTENDED DIVERSION TIME OPERATIONS
EEC,ELECTRONICS ENGINE CONTROL
EFAS,EN ROUTE FLIGHT ADVISORY SERVICE
EFB,ELECTRONICS FLIGHT BAG
EFC,EXPECT FURTHER CLEARANCE
EFD,ELECTRONICS FLIGHT DISPLAY
EFFRA,ENGINE FAILURE FLAP RETRACTION ALTITUDE
EFIS,ELECTRONICS FLIGHT INSTRUMENT SYSTEM
EFP,ENGINE FAILURE PROCEDURE
EFS,ELEVATOR FEEL SHIFT
EFSTS,ELECTRONICS FLIGHT STRIP TRANSFER SYSTEM
EFTO,ENGINE FAILURE ON TAKE OFF
EFVS,ENHANCED FLIGHT VISION SYSTEM
EGI,EMBEDDED GPS INERTIAL
EGNOS,EUROPEAN GEOSTATIONARY NAVIGATION OVERLAY SERVICE
EGPWS,ENHANCED GROUND PROXIMITY WARNING SYSTEM
EGT,EXHAUST GAS TEMPERATURE
EHM,ENGINE HEALTH MONITOR
EHS,ENHANCED SURVEILLANCE
EHSI,ELECTRONICS HORIZONTAL SITUATION INDICATOR
EIAF,EXPANDED INWARD ACCESS FEATURES
EICAS,ENGINE INDICATION CREW ALERTING SYSTEM
EIS,ELECTRONICS INSTRUMENT SYSTEM
ELAC,ELEVATOR AND AILERON COMPUTER
ELD,ELECTRICAL LOAD DATABASE
ELMS,ELECTRONICS LEARNING MANAGEMENT SYSTEM
ELOS,EQUIVALENT LEVEL OF SAFETY
ELSA,EXPERIMENTAL LIGHT SPORT AIRCRAFT
E-LSA,EXPERIMENTAL LIGHT-SPORT AIRCRAFT
ELT,EMERGENCY LOCATOR TRANSMITTER
ELWRT,ELECTROWRITER
EMAS,ENGINEERED MATERIALS ARRESTING SYSTEM
EMC,ELECTROMAGNETIC COMPATIBILITY
EMDP,ELECTRIC MOTOR DRIVEN PUMP
EMI,ELECTROMAGNETIC INTERFERENCE
EMPS,EN ROUTE MAINTENANCE PROCESSOR SYSTEM
E-MSAW,EN ROUTE AUTOMATED MINIMUM SAFE ALTITUDE WARNING
ENAV,EN ROUTE NAVIGATIONAL AIDS
ENC,ELECTRONICS NOISE CANCELING
ENG,ENGINE
ENR,ELECTRONICS NOISE REDUCTION
EOBT,ESTIMATED OFF BLOCKTIME
EOF,EMERGENCY OPERATING FACILITY
EOPF,ELECTRONICS OFFICIAL PERSONNEL FILE
EOR,ELECTRONICS OCCURRENCE REPORT
EPR,ENGINE PRESSURE RATIO
EPS,ENGINEERED PERFORMANCE STANDARD
EPSS,ENHANCED PACKET SWITCHED SERVICE
EPU,EMERGENCY POWER UNIT
ERAD,EN ROUTE BROADBAND RADAR
ERAM,EN ROUTE AUTOMATION MODERNIZATION
ERIDS,EN ROUTE INFORMATION DISPLAY SYSTEM
ERIT,ENHANCED RADAR INTELLIGENT TOOL
ERM,EN ROUTE SPACING PROGRAM
ERMS,ENVIRONMENTAL REMOTE MONITORING SYSTEM
ESA,EMERGENCY SAFE ALTITUDE
ESEC,EN ROUTE BROADBAND SECONDARY RADAR
ESF,EXTENDED SUPERFRAME FORMAT
ESIS,ENHANCED STATUS INFORMATION SYSTEM
ESP,EN ROUTE SEQUENCING PROGRAM
ESYS,EN ROUTE EQUIPMENT SYSTEM
ETA,ESTIMATED TIME OF ARRIVAL
ETD,ESTIMATED TIME OF DEPARTURE
ETE,ESTIMATED TIME EN ROUTE
ETG,ENHANCED TARGET GENERATOR
ETL,EFFECTIVE TRANSLATIONAL LIFT
ETMS,ENHANCED TRAFFIC MANAGEMENT SYSTEM
ETN,ELECTRONICS TELECOMMUNICATIONS NETWORK
ETOP,EXTENDED RANGE TWIN ENGINE OPERATION
ETOPS,EXTENDED RANGE TWIN ENGINE OPERATION
